Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/USA/NY-PRL-2021_0413_00G15/2021	EPI_ISL_1636213	2021-04-11	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (3.02% of overall sequence). Gap of 10 nucleotides when compared to the reference sequence.	warn	B.1.526.2	GH
hCoV-19/USA/NY-PRL-2021_0412_02I13/2021	EPI_ISL_1636214	2021-04-11	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (4.60% of overall sequence). NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0413_00L05/2021	EPI_ISL_1636215	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (2.95% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0413_00M14/2021	EPI_ISL_1636221	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (2.95% of overall sequence). Gap of 10 nucleotides when compared to the reference sequence.	warn	B.1.526.2	GH
hCoV-19/USA/NY-PRL-2021_0412_02I24/2021	EPI_ISL_1636222	2021-04-11	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Gap of 10 nucleotides when compared to the reference sequence.	info	B.1.526	GH
hCoV-19/USA/NY-PRL-2021_0413_00K01/2021	EPI_ISL_1636224	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Long stretches of NNNs (6.17% of overall sequence). Gap of 10 nucleotides when compared to the reference sequence.	alert	B.1.2	GH
hCoV-19/USA/NY-PRL-2021_0413_00L12/2021	EPI_ISL_1636229	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Gap of 10 nucleotides when compared to the reference sequence.	info	B.1.526.2	GH
hCoV-19/USA/NY-PRL-2021_0413_00D23/2021	EPI_ISL_1636231	2021-04-11	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0413_00J01/2021	EPI_ISL_1636239	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (2.80% of overall sequence). Gap of 10 nucleotides when compared to the reference sequence.	warn	B.1.526	GH
hCoV-19/USA/NY-PRL-2021_0413_00K22/2021	EPI_ISL_1636248	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Long stretches of NNNs (7.93% of overall sequence). Insertion of 4 nucleotides when compared to the reference sequence. Gap of 9 nucleotides when compared to the reference sequence.	alert	P.1	GR
hCoV-19/USA/NY-PRL-2021_0413_00D24/2021	EPI_ISL_1636251	2021-04-11	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Long stretches of NNNs (6.71% of overall sequence). Gap of 10 nucleotides when compared to the reference sequence.	alert	B.1.526.2	GH
hCoV-19/USA/NY-PRL-2021_0413_00N19/2021	EPI_ISL_1636253	2021-04-11	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Gap of 10 nucleotides when compared to the reference sequence.	info	B.1.526	GH
hCoV-19/USA/NY-PRL-2021_0413_00O20/2021	EPI_ISL_1636257	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (1.90% of overall sequence). Gap of 10 nucleotides when compared to the reference sequence.	warn	B.1.526.2	GH
hCoV-19/USA/NY-PRL-2021_0413_00P17/2021	EPI_ISL_1636259	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188			B.1.429	GH
hCoV-19/USA/NY-PRL-2021_0412_02L06/2021	EPI_ISL_1636262	2021-04-10	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (2.96% of overall sequence). Gap of 2 nucleotides when compared to the reference sequence.	warn	B.1.575	GH
hCoV-19/USA/NY-PRL-2021_0413_00D16/2021	EPI_ISL_1636264	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (1.91% of overall sequence). NS8_E106stop results in 13.2% truncation of the protein sequence. Gap of 30 nucleotides when compared to the reference sequence.	warn	B.1.1.318	GR
hCoV-19/USA/NY-PRL-2021_0413_00J12/2021	EPI_ISL_1636266	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0413_00K04/2021	EPI_ISL_1636267	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Gap of 10 nucleotides when compared to the reference sequence.	info	B.1.526	GH
hCoV-19/USA/NY-PRL-2021_0412_02I07/2021	EPI_ISL_1636268	2021-04-11	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (1.71% of overall sequence). Gap of 10 nucleotides when compared to the reference sequence.	warn	B.1.526.2	GH
hCoV-19/USA/NY-PRL-2021_0413_00I22/2021	EPI_ISL_1636269	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (2.96% of overall sequence). NS7a_Q62stop results in 49.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0413_00P05/2021	EPI_ISL_1636270	2021-04-11	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0413_00P06/2021	EPI_ISL_1636271	2021-04-11	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Gap of 10 nucleotides when compared to the reference sequence.	info	B.1.526	GH
hCoV-19/USA/NY-PRL-2021_0413_00D19/2021	EPI_ISL_1636275	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Gap of 10 nucleotides when compared to the reference sequence.	info	B.1.526	GH
hCoV-19/USA/NY-PRL-2021_0413_00M22/2021	EPI_ISL_1636276	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Gap of 10 nucleotides when compared to the reference sequence.	info	B.1.526	GH
hCoV-19/USA/NY-PRL-2021_0413_00H05/2021	EPI_ISL_1636278	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Long stretches of NNNs (6.05% of overall sequence). NS7a_Q94stop results in 23.1% truncation of the protein sequence. Gap of 22 nucleotides when compared to the reference sequence. E without BLAST coverage.	alert	B.1.526.1	GH
hCoV-19/USA/NY-PRL-2021_0413_00F02/2021	EPI_ISL_1636279	2021-04-11	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0413_00C18/2021	EPI_ISL_1636280	2021-04-11	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Gap of 10 nucleotides when compared to the reference sequence.	info	B.1.526	GH
hCoV-19/USA/NY-PRL-2021_0412_02L13/2021	EPI_ISL_1636281	2021-04-10	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (1.41% of overall sequence). NS7a_G38stop results in 69.4% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.526	GH
hCoV-19/USA/NY-PRL-2021_0413_00F16/2021	EPI_ISL_1636284	2021-04-11	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (2.95% of overall sequence). NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0413_00O19/2021	EPI_ISL_1636286	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Stretches of NNNs (1.96% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0413_00O11/2021	EPI_ISL_1636290	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Gap of 10 nucleotides when compared to the reference sequence.	info	B.1.526	GH
hCoV-19/USA/NY-PRL-2021_0413_00J18/2021	EPI_ISL_1636291	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0413_00K05/2021	EPI_ISL_1636292	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0413_00H14/2021	EPI_ISL_1636295	2021-04-10	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Gap of 10 nucleotides when compared to the reference sequence.	info	B.1.526	GH
hCoV-19/USA/NY-PRL-2021_0412_02J04/2021	EPI_ISL_1636296	2021-04-11	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/NY-PRL-2021_0413_00D01/2021	EPI_ISL_1636297	2021-04-10	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Gap of 10 nucleotides when compared to the reference sequence.	info	B.1.526	GH
hCoV-19/USA/NY-PRL-2021_0413_00L19/2021	EPI_ISL_1636298	2021-04-12	North America / USA / New York / New York City	Human	Original	Nasopharyngeal swab		Illumina MiSeq/NextSeq	BWA mem 0.7.17-r1188	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/USA/MI-UM-10039207315/2021	EPI_ISL_1651713	2021-04-10	North America / USA / Michigan	Human	Original			Illumina MiSeq	BWA-MEM, iVar	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/MI-UM-10039207678/2021	EPI_ISL_1651714	2021-04-10	North America / USA / Michigan	Human	Original			Illumina MiSeq	BWA-MEM, iVar	Stretches of NNNs (2.14% of overall sequence). NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	G
hCoV-19/USA/MI-UM-10039208334/2021	EPI_ISL_1651715	2021-04-10	North America / USA / Michigan	Human	Original			Illumina MiSeq	BWA-MEM, iVar	Gap of 10 nucleotides when compared to the reference sequence.	info	B.1.526	GH
hCoV-19/USA/NV-NSPHL-357065/2021	EPI_ISL_1663880	2021-04-13	North America / USA / Nevada / Lyon	Human	Original			ONT via Clear Labs WGS	Medaka via artic 1.1.3	Long stretches of NNNs (14.76% of overall sequence). NSP11 without BLAST coverage.	alert	B.1	G
hCoV-19/USA/CA-CDC-FG-020837/2021	EPI_ISL_1666020	2021-04-11	North America / USA / California	Human	Original	Nasal swab		Illumina NovaSeq	BWA; iVar 1.3	Stretches of NNNs (3.58% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/USA/CA-CDC-FG-020838/2021	EPI_ISL_1666021	2021-04-12	North America / USA / California	Human	Original	Nasal swab		Illumina NovaSeq	BWA; iVar 1.3			B.1.429	GH
hCoV-19/USA/CA-CDC-FG-020840/2021	EPI_ISL_1666022	2021-04-11	North America / USA / California	Human	Original	Nasal swab		Illumina NovaSeq	BWA; iVar 1.3	Gap of 3 nucleotides when compared to the reference sequence.	info	B.1.1.519	GR
hCoV-19/USA/CA-CDC-FG-020841/2021	EPI_ISL_1666023	2021-04-11	North America / USA / California	Human	Original	Nasal swab		Illumina NovaSeq	BWA; iVar 1.3	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/CA-CDC-FG-020842/2021	EPI_ISL_1666024	2021-04-11	North America / USA / California	Human	Original	Nasal swab		Illumina NovaSeq	BWA; iVar 1.3	Stretches of NNNs (1.01% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/USA/CA-CDC-FG-020843/2021	EPI_ISL_1666025	2021-04-11	North America / USA / California	Human	Original	Nasal swab		Illumina NovaSeq	BWA; iVar 1.3			B.1.2	GH
hCoV-19/USA/CA-CDC-FG-020844/2021	EPI_ISL_1666026	2021-04-11	North America / USA / California	Human	Original	Nasal swab		Illumina NovaSeq	BWA; iVar 1.3	Insertion of 4 nucleotides when compared to the reference sequence. Gap of 12 nucleotides when compared to the reference sequence.	info	P.1	GR
hCoV-19/USA/CA-CDC-FG-020847/2021	EPI_ISL_1666027	2021-04-11	North America / USA / California	Human	Original	Nasal swab		Illumina NovaSeq	BWA; iVar 1.3	Long stretches of NNNs (6.76% of overall sequence).	alert	B.1.1.519	GR
hCoV-19/USA/CA-CDC-FG-020849/2021	EPI_ISL_1666029	2021-04-11	North America / USA / California	Human	Original	Nasal swab		Illumina NovaSeq	BWA; iVar 1.3			B.1.1.519	GR
hCoV-19/USA/CA-CDC-FG-020855/2021	EPI_ISL_1666030	2021-04-10	North America / USA / California	Human	Original	Nasal swab		Illumina NovaSeq	BWA; iVar 1.3	Stretches of NNNs (1.01% of overall sequence).	warn	B.1.429	GH
hCoV-19/USA/CA-CDC-FG-020856/2021	EPI_ISL_1666031	2021-04-11	North America / USA / California	Human	Original	Nasal swab		Illumina NovaSeq	BWA; iVar 1.3	Stretches of NNNs (1.85% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/USA/CA-CDC-FG-020857/2021	EPI_ISL_1666032	2021-04-11	North America / USA / California	Human	Original	Nasal swab		Illumina NovaSeq	BWA; iVar 1.3	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/USA/CA-CDC-FG-020859/2021	EPI_ISL_1666033	2021-04-10	North America / USA / California	Human	Original	Nasal swab		Illumina NovaSeq	BWA; iVar 1.3	Stretches of NNNs (2.35% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
